date	NYC	SF
20051123	539000	570000
20060317	569000	570000
20091207	590000	570000
20130208	495000	571000
20040928	559000	572000
20041124	498000	572500
20040429	539000	575000
20040608	465000	575000
20040928	539000	575000
20041124	569000	575000
20051013	525000	575000
20051202	575000	575000
20060608	579000	575000
20060627	579000	575000
20070117	589000	575000
20090811	609000	575000
20101029	615000	575000
20110427	599000	575000
20110527	575000	575000
20111104	575000	575000
20161128	574999	575000
20040812	539000	576000
20110121	579000	576800
20040721	535000	578000
20060714	569000	578000
20091204	579000	579000
20040317	575000	580000
20040804	529000	580000
20070104	540000	580000
20070814	539000	580000
20080215	575000	580000
20110706	588000	580000
20120319	595000	580000
20040311	589000	582000
20120727	599000	582500
20120824	569000	583000
20040401	589000	585000
20050104	549000	585000
20050217	549000	585000
20051030	579000	585000
20060317	569000	585000
20050527	529000	586000
20051122	575000	588000
20000831	589000	589000
20040521	589000	589000
20040526	589000	589000
20040528	589000	589000
20040528	589000	589000
20040602	589000	589000
20041004	589000	589000
20060428	579000	589000
20061201	589000	589000
20070928	599000	589000
20081031	599000	589000
20111123	599000	589000
20010222	599000	590000
20040630	529000	590000
20040722	579000	590000
20060228	599000	590000
20070402	575000	590000
20040716	599000	591850
20080924	588000	592000
20040602	589000	592500
20040514	594000	594000
20061220	599000	594000
20071003	599000	594000
20051215	595000	595000
20060526	595000	595000
20070309	599000	595000
20041008	499000	596000
20040514	589000	596500
20080822	599900	597000
20040316	599000	599000
20060310	599000	599000
20061031	599000	599000
20071214	599000	599000
20081029	599000	599000
20090730	599000	599000
20100709	599000	599000
20110928	599000	599000
20130131	599000	599000
20140909	599000	599000
20040323	600000	600000
20040521	549000	600000
20050623	525000	600000
20050812	599999	600000
20051028	549000	600000
20060223	610000	600000
20061205	569000	600000
20070726	598000	600000
20090819	600000	600000
20100406	599000	600000
20130426	575000	600000
20050429	549000	601000
20040702	549000	601500
20030619	603900	603900
20030909	629000	605000
20050503	519000	605000
20060828	605000	605000
20060911	599000	605000
20061129	609000	605000
20080715	629000	605000
